id	name	manners	independence	hardwork	responsibility	imagination	tolerance	thrifty	determination	religion	unselfishness	obedience	
ALB	Albania	94.10	32.00	56.70	30.90	10.70	81.10	67.00	40.70	29.90	11.70	58.20	
ARG	Argentina	74.20	42.40	55.50	79.60	25.80	73.60	15.90	28.50	34.70	16.40	31.60	
ARM	Armenia	76.10	32.00	83.60	68.60	15.70	48.40	38.20	57.20	12.40	30.60	18.00	
AUS	Australia	80.40	52.90	35.90	66.10	26.40	80.70	18.90	36.40	21.40	39.70	29.20	
AZE	Azerbaijan	52.80	59.70	77.10	65.50	13.80	59.10	59.30	47.00	18.60	16.60	24.80	
BGD	Bangladesh	95.40	57.00	8.10	39.40	14.20	69.20	51.50	53.40	77.70	15.70	19.00	
BLR	Belarus	14.90	29.80	84.00	62.30	8.50	59.70	53.50	41.40	15.00	17.50	34.90	
BIH	Bosnia	88.20	35.20	45.60	61.60	25.50	62.50	39.10	41.10	25.10	26.10	40.90	
BGR	Bulgaria	86.30	38.40	92.00	63.60	7.50	46.40	43.50	44.30	16.10	44.70	20.30	
CHL	Chile	81.80	33.90	16.80	73.80	24.30	61.10	30.50	34.40	45.60	25.50	45.80	
CHN	China	66.80	50.10	72.70	34.50	22.10	43.00	62.20	36.30	3.30	28.20	29.30	
COL	Colombia	84.00	27.10	18.00	76.90	18.90	68.30	25.10	19.50	42.30	37.30	42.70	
HRV	Croatia	64.20	63.50	63.70	67.20	16.70	64.30	28.60	44.20	19.10	29.40	21.30	
CZE	Czech Rep.	79.00	22.50	78.90	69.10	5.10	60.00	44.10	35.00	8.90	32.30	14.00	
DOM	Dominican Rep.	84.70	40.00	49.60	84.40	12.50	67.90	11.30	27.10	59.20	12.20	50.80	
SLV	El Salvador	82.30	35.60	38.40	66.90	10.40	58.80	29.80	14.00	67.00	27.80	62.40	
EST	Estonia	67.10	53.80	87.10	77.10	8.60	59.60	30.40	49.00	5.00	16.80	27.00	
FIN	Finland	82.00	56.00	14.70	87.00	23.50	82.50	29.20	44.40	11.20	18.20	28.10	
GEO	Georgia	61.40	50.70	81.90	67.60	10.30	54.10	31.90	36.60	31.00	19.70	22.90	
