id	name	independence	hardwork	responsibility	imagination	tolerance	thrifty	determination	religion	unselfishness	obedience	
ALB	Albania	57.20	63.60	68.20	28.90	80.00	54.90	52.90	36.30	11.80	53.90	
DZA	Algeria	25.70	66.90	58.00	12.20	54.00	17.90	17.50	76.80	16.50	56.20	
ARG	Argentina	36.30	56.80	76.60	23.50	70.40	14.90	22.20	43.50	12.70	37.10	
BGD	Bangladesh	77.80	58.90	53.30	35.60	70.90	57.30	35.90	70.10	15.80	19.20	
BIH	Bosnia Herzegovina	56.30	53.80	73.80	26.80	71.70	37.20	46.10	24.50	37.60	43.50	
CAN	Canada	62.30	52.70	77.00	33.00	80.60	27.10	48.00	30.80	45.10	29.80	
CHL	Chile	52.70	25.90	84.20	35.70	76.00	34.40	43.70	40.30	34.20	54.90	
CHN	China	74.10	85.80	63.60	35.30	72.60	57.20	16.00	46.60	37.00	14.80	
EGY	Egypt	72.60	83.00	50.80	61.00	64.60	8.00	56.70	75.10	45.90	53.20	
IND	India	56.20	84.90	67.60	28.10	63.20	61.90	46.40	93.10	36.60	55.70	
IDN	Indonesia	76.60	66.70	82.10	28.90	62.90	52.20	43.70	70.90	47.30	53.30	
IRN	Iran	53.20	62.10	72.00	11.00	59.00	29.60	28.40	92.00	28.90	41.40	
IRQ	Iraq	28.80	24.20	75.70	22.80	77.80	28.20	30.70	29.10	49.00	73.80	
ISR	Israel	68.60	27.10	65.50	34.50	81.90	19.80	69.00	6.50	53.20	16.30	
JPN	Japan	81.80	44.80	90.70	5.40	71.20	48.10	16.90	83.90	31.70	4.30	
JOR	Jordan	22.30	87.30	65.40	37.70	67.30	19.40	51.10	22.60	23.70	46.20	
KGZ	Kyrgyzstan	54.80	30.10	78.20	24.40	65.50	43.00	32.90	53.10	49.50	37.40	
MKD	Macedonia	58.70	38.40	74.10	15.40	75.30	39.50	9.10	87.30	21.60	11.30	
MEX	Mexico	42.30	87.30	76.80	26.40	70.60	39.30	33.30	42.60	11.50	59.50	
MDA	Moldova	55.70	73.40	82.60	6.70	77.90	42.10	16.00	89.20	8.90	41.20	
MAR	Morocco	33.50	80.20	64.20	10.90	74.30	35.60	22.90	67.70	23.30	57.50	
NER	Nigeria	26.00	56.20	33.10	7.40	59.10	10.30	29.40	86.20	38.20	72.50	
PAK	Pakistan	12.60	59.30	50.20	22.90	53.00	55.40	33.50	55.60	50.30	44.40	
PER	Peru	38.60	74.00	78.90	13.60	72.60	23.50	37.00	59.30	39.40	61.00	
PHL	Philippines	65.70	51.80	64.70	18.60	60.10	45.30	23.80	68.60	28.30	44.40	
PRI	Puerto Rico	51.40	41.90	74.30	31.10	60.70	23.60	40.20	70.60	52.40	56.00	
SAU	Saudi Arabia	70.00	63.70	56.90	13.50	56.40	31.50	39.90	30.10	29.60	66.60	
SRB	Serbia	60.80	82.20	71.80	11.70	64.50	30.80	44.20	21.70	39.80	32.40	
SGP	Singapore	74.70	75.50	83.60	20.20	69.80	43.80	49.50	8.20	39.30	46.90	
ZAF	South Africa	62.50	85.30	59.20	11.10	74.10	37.10	35.10	74.10	32.90	51.90	
ESP	Spain	44.40	3.90	80.10	40.40	77.00	31.40	29.20	4.90	32.70	48.80	
SWE	Sweden	68.80	74.30	86.90	23.00	92.50	30.50	20.40	44.10	20.40	12.70	
TZA	Tanzania	41.90	60.80	41.40	30.00	83.60	53.50	45.40	52.10	39.00	76.10	
TUR	Turkey	15.70	85.60	62.70	11.30	64.30	28.70	35.30	68.50	31.30	39.70	
UGA	Uganda	31.40	36.90	52.40	13.20	56.80	10.70	42.60	26.90	46.90	71.70	
USA	United States	61.10	26.60	71.90	23.80	79.50	22.80	44.90	44.70	53.10	32.00	
VEN	Venezuela	44.60	74.80	87.60	10.40	79.60	39.00	40.50	20.70	34.40	51.40	
VNM	Viet Nam	56.40	75.30	70.30	20.00	67.90	48.10	41.90	61.40	29.20	56.30	
ZWE	Zimbabwe	26.20	68.90	47.60	25.20	78.20	20.50	30.80	20.30	20.00	68.10	
