id	name	thrifty	independence	hardwork	responsibility	imagination	tolerance	determination	religion	unselfishness	obedience	self
DZA	Algeria	31.20	31.20	59.50	56.30	23.40	61.40	35.20	64.70	34.30	47.90	17.80
ARG	Argentina	13.40	44.10	40.60	57.30	31.40	58.20	25.10	23.20	42.30	35.30	14.80
ARM	Armenia	28.50	28.00	81.90	79.60	6.10	56.30	32.80	38.10	24.10	24.20	19.70
AUS	Australia	30.70	65.00	59.10	65.90	39.80	86.30	50.30	15.20	49.20	28.20	36.30
AZE	Azerbaijan	52.80	58.50	74.00	79.20	13.30	71.70	39.70	19.40	21.70	6.40	53.60
BLR	Belarus	55.00	38.60	87.60	80.60	12.10	60.70	35.10	14.40	13.90	33.80	29.80
BRA	Brazil	26.60	37.60	64.10	77.90	24.40	64.20	28.20	49.80	31.50	51.50	9.00
CHL	Chile	36.40	49.20	30.50	76.90	22.20	82.00	53.60	27.50	42.70	45.80	36.40
CHN	China	50.70	69.70	75.30	65.90	17.00	52.20	26.00	1.20	29.20	7.50	10.50
COL	Colombia	29.40	36.40	13.60	82.00	20.80	86.40	24.30	60.30	45.80	66.40	31.50
CYP	Cyprus	30.60	43.10	40.80	80.70	23.40	69.70	41.00	37.40	36.00	37.20	39.30
ECU	Ecuador	47.30	37.40	44.30	75.00	25.10	67.70	25.40	49.00	54.10	59.70	12.60
EGY	Egypt	22.50	80.20	50.40	59.20	6.20	62.30	17.80	83.40	29.20	42.10	20.60
EST	Estonia	77.00	54.50	87.50	88.40	36.80	84.50	69.40	18.80	42.50	62.70	62.90
GEO	Georgia	24.60	61.60	91.30	87.70	9.20	67.40	24.70	63.60	14.60	18.80	12.20
DEU	Germany	38.10	73.50	17.90	80.90	29.50	66.70	59.60	12.10	5.90	12.60	39.20
GHA	Ghana	24.40	28.80	85.50	34.90	12.00	66.10	45.90	70.60	24.60	73.80	23.20
HTI	Haiti	3.80	16.80	78.40	34.70	9.90	43.80	31.50	12.30	67.70	84.30	5.30
HKG	Hong Kong	43.70	72.60	58.00	79.30	18.80	69.20	43.00	10.90	15.10	17.70	31.00
IND	India	85.70	89.90	94.60	90.50	69.20	89.30	84.70	83.10	81.10	89.90	73.50
IRQ	Iraq	27.40	36.80	57.80	70.30	15.30	74.20	22.20	75.00	34.00	68.40	12.60
JPN	Japan	47.80	67.70	35.10	87.30	31.60	64.60	67.80	4.40	45.10	5.00	33.60
JOR	Jordan	27.90	43.60	39.50	73.10	14.80	76.50	27.40	79.80	36.50	56.20	24.60
KAZ	Kazakhstan	52.80	43.70	84.70	75.00	12.40	60.00	44.70	10.00	29.70	32.90	28.60
KWT	Kuwait	36.50	41.80	51.30	60.30	28.00	67.80	28.40	73.80	39.00	56.30	29.40
KGZ	Kyrgyzstan	41.30	61.20	84.60	76.30	14.80	57.60	51.90	24.80	28.80	38.60	13.50
LBN	Lebanon	24.50	32.30	39.80	51.70	18.70	46.90	30.80	33.60	28.70	17.40	23.10
LBY	Libya	29.80	38.40	41.40	71.80	12.20	80.00	25.20	79.10	35.30	59.00	22.50
MYS	Malaysia	60.40	71.70	43.60	64.90	24.40	74.60	40.10	63.80	30.60	24.90	10.70
MEX	Mexico	34.60	38.50	38.00	74.90	23.80	77.90	27.00	35.30	43.40	54.60	18.60
MAR	Morocco	23.80	43.00	67.10	63.80	23.90	56.60	19.20	77.60	25.30	29.20	29.70
NLD	Netherlands	47.50	60.70	31.30	90.80	20.00	86.00	37.10	13.90	22.90	25.60	23.00
NZL	New Zealand	33.40	53.50	50.20	56.10	36.30	83.10	48.50	15.90	36.60	24.10	32.10
NGA	Nigeria	19.10	38.90	78.00	42.60	15.10	59.80	36.90	72.70	31.70	62.80	22.80
PAK	Pakistan	42.40	43.10	55.70	62.30	31.20	52.80	35.90	72.80	36.60	50.00	16.70
PER	Peru	23.80	33.30	16.50	71.30	16.70	67.60	23.40	42.10	38.60	52.30	22.90
PHL	Philippines	41.90	65.00	69.50	67.20	14.00	62.30	29.90	59.80	31.80	40.80	11.50
POL	Poland	49.50	43.40	17.90	81.00	16.80	82.60	19.30	39.50	15.10	34.10	41.00
QAT	Qatar	25.20	34.30	48.90	75.60	12.40	76.90	18.10	84.70	32.50	46.90	19.60
ROU	Romania	39.40	42.20	77.30	70.40	32.70	65.20	29.90	51.70	12.60	13.00	29.00
RUS	Russia	50.30	37.80	84.50	77.50	16.50	63.50	45.40	13.90	22.60	34.80	32.10
RWA	Rwanda	41.90	30.30	69.20	72.00	33.30	56.40	35.40	42.20	52.00	60.60	8.70
SGP	Singapore	47.40	72.10	60.80	69.70	18.80	54.10	44.30	26.20	26.00	37.50	13.70
SVN	Slovenia	54.60	88.00	50.90	83.10	26.20	81.20	65.20	23.40	44.20	41.20	48.80
ZAF	South Africa	30.40	63.50	70.20	57.40	28.10	52.50	35.30	44.30	27.80	37.20	24.40
ESP	Spain	29.60	43.10	66.60	78.60	24.80	74.10	37.50	10.60	35.00	31.40	8.30
SWE	Sweden	38.60	70.30	13.80	82.50	46.70	87.00	33.60	4.40	30.40	12.20	37.60
TWN	Taiwan	54.10	72.30	40.40	82.40	18.70	77.40	28.00	9.00	24.40	11.10	37.50
THA	Thailand	53.00	35.90	78.30	65.70	23.30	64.70	50.30	34.70	44.30	44.20	14.60
TTO	Trinidad and Tobago	35.20	58.60	61.40	48.60	5.80	84.20	26.00	68.10	16.00	71.90	15.30
TUN	Tunisia	23.20	55.10	73.90	77.30	15.00	54.90	28.70	76.10	33.20	38.70	18.30
TUR	Turkey	39.40	35.00	72.00	66.50	28.30	61.40	38.00	39.70	27.70	33.90	37.90
UKR	Ukraine	45.10	42.80	85.80	75.50	13.00	59.00	39.40	22.30	19.90	42.30	32.30
USA	United States	31.60	53.60	66.40	65.20	30.50	71.80	35.70	43.10	32.70	27.90	17.60
URY	Uruguay	20.60	48.20	21.80	81.60	19.80	82.00	35.00	15.80	52.90	51.60	38.60
UZB	Uzbekistan	33.20	57.60	92.70	75.00	4.00	80.50	56.70	5.70	23.50	24.50	8.30
YEM	Yemen	38.30	30.60	31.70	68.70	9.10	80.00	30.50	84.50	31.00	70.00	6.50
ZWE	Zimbabwe	25.10	39.10	76.00	43.10	13.30	63.80	49.40	59.60	29.50	70.10	20.60
												
