id	name	population	thrifty	independence
DZA	Algeria	34586184	31.20%	31.20%
ARG	Argentina	41343201	13.40%	44.10%
ARM	Armenia	2966802	28.50%	28.00%
AUS	Australia	21515754	30.70%	65.00%
AZE	Azerbaijan	8303512	52.80%	58.50%
BLR	Belarus	9612632	55.00%	38.60%
BRA	Brazil	201103330	26.60%	37.60%
CHL	Chile	16746491	36.40%	49.20%
CHN	China	1330141295	50.70%	69.70%
COL	Colombia	44205293	29.40%	36.40%
CYP	Cyprus	1102677	30.60%	43.10%
ECU	Ecuador	14790608	47.30%	37.40%
EGY	Egypt	80471869	22.50%	80.20%
EST	Estonia	1291170	77.00%	54.50%
GEO	Georgia	4600825	24.60%	61.60%
DEU	Germany	82282988	38.10%	73.50%
GHA	Ghana	24339838	24.40%	28.80%
HTI	Haiti	9203083	3.80%	16.80%
HKG	Hong Kong	7089705	43.70%	72.60%
IND	India	1173108018	85.70%	89.90%
IRQ	Iraq	29671605	27.40%	36.80%
JPN	Japan	126804433	47.80%	67.70%
JOR	Jordan	6407085	27.90%	43.60%
KAZ	Kazakhstan	15460484	52.80%	43.70%
KWT	Kuwait	2789132	36.50%	41.80%
KGZ	Kyrgyzstan	5508626	41.30%	61.20%
LBN	Lebanon	4125247	24.50%	32.30%
LBY	Libya	6461454	29.80%	38.40%
MYS	Malaysia	26160256	60.40%	71.70%
MEX	Mexico	112468855	34.60%	38.50%
MAR	Morocco	31627428	23.80%	43.00%
NLD	Netherlands	16783092	47.50%	60.70%
NZL	New Zealand	4252277	33.40%	53.50%
NGA	Nigeria	152217341	19.10%	38.90%
PAK	Pakistan	177276594	42.40%	43.10%
PER	Peru	29907003	23.80%	33.30%
PHL	Philippines	99900177	41.90%	65.00%
POL	Poland	38463689	49.50%	43.40%
QAT	Qatar	840926	25.20%	34.30%
ROU	Romania	22181287	39.40%	42.20%
RUS	Russia	139390205	50.30%	37.80%
RWA	Rwanda	11055976	41.90%	30.30%
SGP	Singapore	4701069	47.40%	72.10%
SVN	Slovenia	2003136	54.60%	88.00%
ZAF	South Africa	49109107	30.40%	63.50%
ESP	Spain	40548753	29.60%	43.10%
SWE	Sweden	9074055	38.60%	70.30%
TWN	Taiwan	23024956	54.10%	72.30%
THA	Thailand	66404688	53.00%	35.90%
TTO	Trinidad and Tobago	1228691	35.20%	58.60%
TUN	Tunisia	10589025	23.20%	55.10%
TUR	Turkey	77804122	39.40%	35.00%
UKR	Ukraine	45415596	45.10%	42.80%
USA	United States	310232863	31.60%	53.60%
URY	Uruguay	3510386	20.60%	48.20%
UZB	Uzbekistan	27865738	33.20%	57.60%
YEM	Yemen	23495361	38.30%	30.60%
ZWE	Zimbabwe	11651858	25.10%	39.10%
